"Model";"Batterysize";"Range..avg...388.km.";"Consumption"
"Opel Frontera Electric 54 kWh";"53.5";290;184
"Opel Grandland Electric 73 kWh";"73";370;197
"Opel Grandland Electric 73 kWh AWD";"73";355;206
"Opel Grandland Electric 97 kWh";"96.9";490;198
"Opel Mokka Electric";"50.8";285;178
"Opel Mokka Electric GSE";"50.8";280;181
"Opel Zafira Electric 50 kWh";"46.3";180;257
"Opel Zafira Electric 75 kWh";"69";265;260
"Opel Zafira Electric XL 50 kWh";"46.3";180;257
"Opel Zafira Electric XL 75 kWh";"69";265;260
"Peugeot e-2008 54 kWh";"50.8";300;169
"Peugeot e-208 50 kWh";"46.3";295;157
"Peugeot e-208 54 kWh";"50.8";335;152
"Peugeot e-3008 73 kWh";"73";380;192
"Peugeot e-3008 73 kWh Dual Motor";"73";365;200
"Peugeot e-3008 97 kWh Long Range";"96.9";500;194
"Peugeot e-308 58 kWh";"55.4";345;161
"Peugeot e-308 SW 58 kWh";"55.4";340;163
"Peugeot e-408 58 kWh";"58.3";350;164
"Peugeot e-408 58 kWh";"58.3";350;167
"Peugeot e-408 58 kWh";"58.3";355;164
"Peugeot e-408 58 kWh";"58.3";355;167
"Peugeot e-408 58 kWh";"58.3";350;164
"Peugeot e-408 58 kWh";"58.3";350;167
"Peugeot e-408 58 kWh";"58.3";355;164
"Peugeot e-408 58 kWh";"58.3";355;167
"Peugeot e-5008 73 kWh";"73";370;197
"Peugeot e-5008 73 kWh Dual Motor";"73";355;206
"Peugeot e-5008 97 kWh Long Range";"96.9";485;200
"Peugeot e-Rifter M 50 kWh";"50";235;213
"Peugeot e-Rifter XL 50 kWh";"50";230;217
"Peugeot e-Traveller L2 50 kWh";"46.3";180;257
"Peugeot e-Traveller L2 75 kWh";"69";265;260
"Peugeot e-Traveller L3 50 kWh";"46.3";180;257
"Peugeot e-Traveller L3 75 kWh";"69";265;260
"Polestar 2 Long Range Dual Motor";"79";455;174
"Polestar 2 Long Range Performance";"79";450;176
"Polestar 2 Long Range Single Motor";"79";475;166
"Polestar 2 Standard Range Single Motor";"67";405;165
"Polestar 3 Dual Motor";"102";500;204
"Polestar 3 Long Range Dual motor";"107";515;208
"Polestar 3 Long Range Performance";"107";480;223
"Polestar 3 Long Range Single motor";"107";530;202
