Model;Range (avg = 388 km);
Kia EV4 Fastback 81.4 kWh;495;
Porsche Macan Electric;495;
Porsche Taycan Turbo Cross Turismo;495;
Porsche Cayenne Turbo Electric;495;
BMW i4 xDrive40;495;
Lotus Eletre 600;495;
Tesla Model Y Premium RWD;495;
Hyundai IONIQ 6 Long Range 2WD;495;
Audi SQ6 Sportback e-tron;495;
Hyundai IONIQ 9 Long Range AWD;495;
Zeekr 7X Long Range RWD;500;
BMW iX M70 xDrive;500;
Volvo EX60 P10 AWD;500;
Audi Q6 Sportback e-tron quattro;500;
MG IM6 Long Range;500;
Volkswagen ID.7 GTX;500;
Volkswagen ID.7 Tourer GTX;500;
Peugeot e-3008 97 kWh Long Range;500;
Mercedes-Benz GLC 400 4MATIC;500;
Polestar 3 Dual Motor;500;
Porsche Taycan Turbo Sport Turismo;505;
Porsche Taycan Turbo S Sport Turismo;505;
Zeekr 001 Long Range RWD;505;
Mercedes-Benz EQE 500 4MATIC;505;
Porsche Taycan GTS Sport Turismo;505;
Hyundai IONIQ 9 Long Range RWD;505;
Porsche Taycan 4S Plus Sport Turismo;510;
Porsche Taycan 4 Cross Turismo;510;
Porsche Taycan 4S Cross Turismo;510;
BMW i7 xDrive60;510;
Audi Q6 Sportback e-tron performance;510;
Tesla Model 3 Performance;515;
Zeekr 7GT Privilege AWD;515;
Porsche Cayenne S Electric;515;
Mercedes-Benz EQE 350 4MATIC;515;
Polestar 3 Long Range Dual motor;515;
Porsche Cayenne Electric;520;
Hyundai IONIQ 6 84 kWh AWD;520;
BMW i7 eDrive50;520;
Lotus Emeya 600;520;
Volkswagen ID.7 Tourer Pro S;520;
BMW iX xDrive60;525;
Porsche Taycan Turbo S;525;
BMW i4 eDrive40;525;
Mercedes-Benz EQE 300;525;
Audi RS e-tron GT;525;
Audi RS e-tron GT performance;525;
Volkswagen ID.7 Pro S;525;
DS Automobiles N°8 AWD Long Range;530;
Mercedes-Benz EQS SUV 450 4MATIC;530;
Mercedes-Benz EQS SUV 500 4MATIC;530;
Mercedes-Benz EQS SUV 580 4MATIC;530;
Porsche Taycan Plus Sport Turismo;530;
MG IM5 Long Range;530;
Polestar 3 Long Range Single motor;530;
Audi S6 Avant e-tron;530;
Polestar 5 Performance;530;
Porsche Taycan Turbo;535;
Volvo ES90 Twin Motor;535;
Volvo ES90 Twin Motor Performance;535;
Porsche Taycan GTS;535;
Mercedes-Benz EQS SUV 450+;540;
Zeekr 7GT Long Range RWD;540;
Audi e-tron GT quattro;540;
Audi S e-tron GT;540;
DS Automobiles N°8 FWD Long Range;545;
Hyundai IONIQ 6 84 kWh RWD;545;
Hongqi EH7 111 kWh Long Range;550;
Mercedes-Benz CLA Shooting Brake 350 4MATIC;555;
Tesla Model 3 Premium AWD;555;
Mercedes-Benz EQE 350+;555;
Audi S6 Sportback e-tron;555;
Audi A6 Avant e-tron quattro;560;
Porsche Taycan 4S Plus;565;
Tesla Model S Plaid;565;
Mercedes-Benz CLA Shooting Brake 250+;565;
Porsche Taycan 4 Plus;565;
Mercedes-Benz EQS 350;570;
Audi A6 Sportback e-tron quattro;570;
Porsche Taycan Plus;575;
Mercedes-Benz CLA 350 4MATIC;575;
Audi A6 Avant e-tron performance;575;
Tesla Model 3 Premium RWD;580;
Lucid Air Pure RWD;580;
Polestar 5 Dual Motor;580;
Mercedes-Benz CLA 250+;585;
Tesla Model S AWD;590;
Lucid Air Touring;600;
Audi A6 Sportback e-tron performance;600;
Volvo EX60 P12 AWD;610;
Lucid Air Sapphire;610;
BMW iX3 50 xDrive;610;
Lucid Gravity Grand Touring;615;
Mercedes-Benz EQS 500 4MATIC;640;
Mercedes-Benz EQS 580 4MATIC;640;
Mercedes-Benz EQS 450 4MATIC;655;
Mercedes-Benz EQS 450+;685;
Lucid Air Grand Touring;720;
